Ingredient,Water footprint
GRAPEFRUIT JUICE,675
ORANGE JUICE,1020
PINEAPPLE JUICE,1273
TOMATO JUICE,267
"TOMATO JUICE, CONCENTRATED",1069
SOY BEAN FLOUR,2523
MARGARINE,1324
"COCONUT OIL , REFINED",4490
"GROUNDNUT OIL , REFINED",7529
LINSEED OIL,9415
MAIZE OIL,2575
OLIVE OIL,14400
"OLIVE OIL, REFINED",14726
PALM OIL,4971
"RAPE OIL, REFINED",4301
SESAME OIL,21793
"SOYBEAN OIL, REFINED",4190
SUNFLOWER,6792
PASTA,590
PESTO,2099
PESTO WITHOUT GARLIC,2249
MAIZE STARCH,1671
MANIOC (cassava) STARCH,2254
POTATO STARCH,1512
WHEAT STARCH,1436
CASSAVA FLOUR,1878
POTATO FLOUR AND MEAL,1436
DRIED CASSAVA,1610
POTATO FLAKES,1044
TAPIOCA OF CASSAVA,2818
TAPIOCA OF POTATOES,1436
BEET SUGAR,829
CANE MOLASSES,527
CANE SUGAR,202
FRUCTOSE,1782
CAKES AND CROISSANT,2139
COCOA CAKES AND CROISSANT,4573
TOMATO PASTE,855
TOMATO PUREE,713
TOMATOES PEELED,267
TOMATO ARRABBIATA,162
TOMATO WITH BASIL,150
CORN CANNED,805.9
BEANS (F),801
MIXED VEGETABLES (F),339
PEA (F),850
POTATO (F),575
SPINACH (F),834
SWEET CORN (F),700
SOY MILK,3763
QUORNE,2000
SOY BURGER,1052.7
TOFU,926
TOFU (SOY CURD),2523
WINE,869
YEAST COMPRESSED,51
BEEF BONE FREE MEAT,25387
BEEF CURED MEAT,23799
BEEF MEAT WITH BONE,10943
BUTTER,5553
CHEESE,4334
CHEESE BLUE-VEINED,5060
CHEESE GRATED,5060
CREAM,1983
GRAN MORAVIA,2067
HARD AND SEMI-HARD CHEESE,7476
MASCARPONE,6100
MOZZARELLA,9410
PARMIGIANO REGGIANO,10200
RICOTTA,1628
STRACCHINO,5600
MEALWORMS,4341
EGG YOLKS,3270
EGGS,2562
EGGS SHELLED,3632
ASS MEAT,51779
HINNY MEAT,51779
HORSE MEAT,51779
MULE MEAT,51779
GOAT BONE FREE MEAT,5054
LAMB BONE FREE MEAT,10412
LAMB MEAT WITH BONE,8561
ACID MILK,1599
BUTTERED MILK,1599
COW MILK,1202
KEPHIR,1599
MILK CREAMY,1898
MILK POWDER,4755
ASS OFFAL,3152
BEEF LIVER,7746
BEEF OFFAL,11155
GOAT OFFAL,3152
HINNY OFFAL,3152
HORSE OFFAL,3152
MULE OFFAL,3152
PORK FAT,4323
PORK LIVER,684
PORK OFFAL,1254
POULTRY FAT,4323
SHEEP OFFAL,3152
PORK BONE FREE MEAT,8267
BACON,6116
CURED HAM BONE FREE,9100
CURED HAM WITH BONE,5798
CURED PORK BONE FREE,6238
CURED SHOULDERS WITH BONE,5798
SAUSAGE,15600
FRESH HAM WITH BONE,5677
FRESH SHOULDERS WITH BONE,5677
PORK CUTS WITH BONE,5798
PORK WITH BONE,4361
CHICKEN BONE FREE MEAT,5474
DUCK BONE FREE MEAT,4325
GOOSE BONE FREE MEAT,4325
GUINEA BONE FREE MEAT,4325
TURKEY BONE FREE MEAT,4325
CHICKEN MEAT WITH BONE,3330.2
SHEEP BONE FREE MEAT,13683
SHEEP CARCASSE WITH BONE,8310
SHEEP CUTS WITH BONE,8320
YOGURT FRUIT,1618
YOGURT LACTOSE-FREE,980
YOGURT WHITE,1690
COFFEE BEAN,19928
COFFEE GREEN,15897
APPLE,6847
COCONUT (dried),2093
DATE,3400
RAISIN,2433
APRICOT,1287
AVOCADO,1382.8
BANANA,117.2
BLACKBERRY,413
BLUEBERRY,845
CAROB,5594
CASHEW APPLE,3793
CHERRY,1604
CHERRY (sour),1411
CHESTNUT,2750
CITRUS,375
CLEMENT,748
COCONUT,2687
COCONUT (husked),1256
CRANBERRY,276
CURRANT,499
FIG,3350
FRUIT,970
GOOSEBERRY,526
GRAPES,506
GUAVA,1800
KIWI,514
LEMON AND LIME,642
MANDARIN,748
MANGO,1430
MANGOSTEEN,1800
OLIVES,2750
ORANGE,748
PALM NUT AND KERNEL,2868
PAPAYA,460
PEACH,1120
PEAR,922
PINEAPPLE,255
PLANTAIN,1602
PLUM,2180
RASPBERRY,413
STRAWBERRY,228.8
TANGERIN,748
WATERMELON,135.9
LONGABERRY,413
MULBERRY,413
BARLEY,1423
BUCKWHEAT,3142
MAIZE,1750
MILLET,4478
OAT,1788
RICE,1521
RYE,1554
SORGHUM,3048
WHEAT,1898
BEAN (dried),5053
"BROAD BEAN, HORSE BEAN (dried)",2018
CHICK PEA (dried),4177
COW PEA (dried),6906
LEGUMES (dried),4055
LENTIL (dried),5874
PEA (dried),1979
PIGEON PEA (dried),5494
SOYBEAN (dried),1816.4
BEAN (green),516
PEA (green),595
ALMOND SHELLED,16095
ARECA NUT,11165
CAHSEW NUT,14218
HAZELNUT SHELLED,10515
KOLA NUT,23391
MIXED NUTS,9063
PISTACHIO,11363
WALNUT SHELLED,9065
ALMOND WITH SHELL,8047
HAZELNUT WITH SHELL,5258
PEANUT,1329.7
WALNUT WITH SHELL,4918
BRASSICAS,280
HEMPSEED,3685
LINSEED,5168
MUSTARD SEEDS,2809
POPPY SEED,2188
RAPESEED,2271
SESAM SEED,9371
SUNFLOWER SEED,3366
ANISE,8280
BADIAN,8280
CARDAMOM,34319
CHILLIES AND PEPPERS,7365
CINNAMON ,15526
CLOVES,61205
CORIANDER,8280
FENNEL SEEDS,8280
GARLIC POWDER,2265
GINGER,1657
HOP CONE,4065
HOP EXTRACT,16259
MACE,34319
NUTMEG,34319
PEPPER (Piper spp.),7611
PEPPERMINT,288
SAFFRON,793000
VANILLA BEAN,126505
MANIOC (cassava),564
POTATO,822.6
SWEET POTAT0,383
TARO (COCO YAM),606
YAM,343
SUGAR BEET,132
SUGAR CANE,210
BLACK TEA,8856
GREEN TEA,8856
ARTICHOKE,818
ASPARAGUS,2150
BROCCOLI,368.5
BRUSSEL SPROUT,285
CABBAGE,370
CARROT,195
CAULIFLOWER,285
CHILLIES (green),379
CUCUMBERS,353
EGGPLANTS (AUBERGINES),362
GARLIC,589
GOURDS,336
LETTUCE,290
"MAIZE, GREEN",700
OKRA,576
ONION,308.5
PEPPER,379
PUMPKIN,400
SHALLOTS,272
SPINACH,292
SQUASH,336
STRING BEAN,547
"TOMATO, DRIED",4276
TOMATOES,16
TURNIP,195
VEGETABLES,379.9
BLACK CARP,2576
CARP,2364
COD,659
FISH,3110
FLOUNDER,180
GILSTHEAD SEABREAM,500
GRASS CARP,2229
GROUPER,360
MAJOR CARP,2596
MANDARIN FISH,88
MILKFISH,2380
PANGASIID,1711
RED DRUM,2202
SALMON,1929
SEA-BASS,1141
SILVER BARB,2861
STURGEON,13420
TILAPIA,2213
TROUT,1482
TURBOT,1504
WUCHANG BREAM,10550
CRUSTACEAN,1974
PRAWN,1448
